Document # 	 Predicted Label 	 Actual Label
	1		 | 		pos		 | 		pos
	4531		 | 		neg		 | 		pos
	4532		 | 		pos		 | 		pos
	4533		 | 		pos		 | 		pos
	4534		 | 		neg		 | 		pos
	4535		 | 		pos		 | 		pos
	4536		 | 		pos		 | 		pos
	4537		 | 		neg		 | 		pos
	4538		 | 		pos		 | 		pos
	4539		 | 		pos		 | 		pos
	4540		 | 		pos		 | 		pos
	4541		 | 		pos		 | 		pos
	4542		 | 		pos		 | 		pos
	4543		 | 		pos		 | 		pos
	4544		 | 		pos		 | 		pos
	4545		 | 		neg		 | 		pos
	4546		 | 		neg		 | 		pos
	4547		 | 		pos		 | 		pos
	4548		 | 		neg		 | 		pos
	4549		 | 		neg		 | 		pos
	4550		 | 		pos		 | 		pos
	4551		 | 		pos		 | 		pos
	4552		 | 		pos		 | 		pos
	4553		 | 		pos		 | 		pos
	4554		 | 		neg		 | 		pos
	4555		 | 		neg		 | 		pos
	4556		 | 		pos		 | 		pos
	4557		 | 		neg		 | 		pos
	4558		 | 		pos		 | 		pos
	4559		 | 		pos		 | 		pos
	4560		 | 		neg		 | 		pos
	4561		 | 		neg		 | 		pos
	4562		 | 		pos		 | 		pos
	4563		 | 		pos		 | 		pos
	4564		 | 		pos		 | 		pos
	4565		 | 		pos		 | 		pos
	4566		 | 		pos		 | 		pos
	4567		 | 		neg		 | 		pos
	4568		 | 		pos		 | 		pos
	4569		 | 		pos		 | 		pos
	4570		 | 		pos		 | 		pos
	4571		 | 		neg		 | 		pos
	4572		 | 		neg		 | 		pos
	4573		 | 		neg		 | 		pos
	4574		 | 		pos		 | 		pos
	4575		 | 		pos		 | 		pos
	4576		 | 		neg		 | 		pos
	4577		 | 		pos		 | 		pos
	4578		 | 		pos		 | 		pos
	4579		 | 		pos		 | 		pos
	4580		 | 		neg		 | 		pos
	4581		 | 		pos		 | 		pos
	4582		 | 		neg		 | 		pos
	4583		 | 		pos		 | 		pos
	4584		 | 		pos		 | 		pos
	4585		 | 		pos		 | 		pos
	4586		 | 		pos		 | 		pos
	4587		 | 		neg		 | 		pos
	4588		 | 		neg		 | 		pos
	4589		 | 		neg		 | 		pos
	4590		 | 		pos		 | 		pos
	4591		 | 		pos		 | 		pos
	4592		 | 		pos		 | 		pos
	4593		 | 		pos		 | 		pos
	4594		 | 		pos		 | 		pos
	4595		 | 		neg		 | 		pos
	4596		 | 		neg		 | 		pos
	4597		 | 		pos		 | 		pos
	4598		 | 		pos		 | 		pos
	4599		 | 		neg		 | 		pos
	4600		 | 		pos		 | 		pos
	4601		 | 		pos		 | 		pos
	4602		 | 		neg		 | 		pos
	4603		 | 		neg		 | 		pos
	4604		 | 		pos		 | 		pos
	4605		 | 		neg		 | 		pos
	4606		 | 		neg		 | 		pos
	4607		 | 		pos		 | 		pos
	4608		 | 		pos		 | 		pos
	4609		 | 		pos		 | 		pos
	4610		 | 		pos		 | 		pos
	4611		 | 		neg		 | 		pos
	4612		 | 		neg		 | 		pos
	4613		 | 		pos		 | 		pos
	4614		 | 		pos		 | 		pos
	4615		 | 		pos		 | 		pos
	4616		 | 		pos		 | 		pos
	4617		 | 		neg		 | 		pos
	4618		 | 		neg		 | 		pos
	4619		 | 		pos		 | 		pos
	4620		 | 		neg		 | 		pos
	4621		 | 		pos		 | 		pos
	4622		 | 		neg		 | 		pos
	4623		 | 		pos		 | 		pos
	4624		 | 		pos		 | 		pos
	4625		 | 		pos		 | 		pos
	4626		 | 		pos		 | 		pos
	4627		 | 		neg		 | 		pos
	4628		 | 		pos		 | 		pos
	4629		 | 		neg		 | 		pos
	4630		 | 		pos		 | 		pos
	4631		 | 		pos		 | 		pos
	4632		 | 		pos		 | 		pos
	4633		 | 		neg		 | 		pos
	4634		 | 		pos		 | 		pos
	4635		 | 		neg		 | 		pos
	4636		 | 		neg		 | 		pos
	4637		 | 		pos		 | 		pos
	4638		 | 		pos		 | 		pos
	4639		 | 		pos		 | 		pos
	4640		 | 		neg		 | 		pos
	4641		 | 		pos		 | 		pos
	4642		 | 		neg		 | 		pos
	4643		 | 		neg		 | 		pos
	4644		 | 		neg		 | 		pos
	4645		 | 		pos		 | 		pos
	4646		 | 		pos		 | 		pos
	4647		 | 		pos		 | 		pos
	4648		 | 		pos		 | 		pos
	4649		 | 		pos		 | 		pos
	4650		 | 		neg		 | 		pos
	4651		 | 		pos		 | 		pos
	4652		 | 		pos		 | 		pos
	4653		 | 		pos		 | 		pos
	4654		 | 		pos		 | 		pos
	4655		 | 		neg		 | 		pos
	4656		 | 		pos		 | 		pos
	4657		 | 		pos		 | 		pos
	4658		 | 		neg		 | 		pos
	4659		 | 		pos		 | 		pos
	4660		 | 		pos		 | 		pos
	4661		 | 		pos		 | 		pos
	4662		 | 		pos		 | 		pos
	4663		 | 		pos		 | 		pos
	4664		 | 		pos		 | 		pos
	4665		 | 		pos		 | 		pos
	4666		 | 		pos		 | 		pos
	4667		 | 		pos		 | 		pos
	4668		 | 		pos		 | 		pos
	4669		 | 		pos		 | 		pos
	4670		 | 		pos		 | 		pos
	4671		 | 		pos		 | 		pos
	4672		 | 		pos		 | 		pos
	4673		 | 		neg		 | 		pos
	4674		 | 		pos		 | 		pos
	4675		 | 		pos		 | 		pos
	4676		 | 		pos		 | 		pos
	4677		 | 		neg		 | 		pos
	4678		 | 		neg		 | 		pos
	4679		 | 		pos		 | 		pos
	4680		 | 		pos		 | 		pos
	4681		 | 		pos		 | 		pos
	4682		 | 		pos		 | 		pos
	4683		 | 		pos		 | 		pos
	4684		 | 		pos		 | 		pos
	4685		 | 		neg		 | 		pos
	4686		 | 		pos		 | 		pos
	4687		 | 		pos		 | 		pos
	4688		 | 		pos		 | 		pos
	4689		 | 		neg		 | 		pos
	4690		 | 		pos		 | 		pos
	4691		 | 		neg		 | 		pos
	4692		 | 		pos		 | 		pos
	4693		 | 		neg		 | 		pos
	4694		 | 		pos		 | 		pos
	4695		 | 		neg		 | 		pos
	4696		 | 		pos		 | 		pos
	4697		 | 		pos		 | 		pos
	4698		 | 		pos		 | 		pos
	4699		 | 		pos		 | 		pos
	4700		 | 		pos		 | 		pos
	4701		 | 		pos		 | 		pos
	4702		 | 		pos		 | 		pos
	4703		 | 		pos		 | 		pos
	4704		 | 		pos		 | 		pos
	4705		 | 		pos		 | 		pos
	4706		 | 		neg		 | 		pos
	4707		 | 		neg		 | 		pos
	4708		 | 		neg		 | 		pos
	4709		 | 		neg		 | 		pos
	4710		 | 		pos		 | 		pos
	4711		 | 		pos		 | 		pos
	4712		 | 		pos		 | 		pos
	4713		 | 		pos		 | 		pos
	4714		 | 		neg		 | 		pos
	4715		 | 		pos		 | 		pos
	4716		 | 		pos		 | 		pos
	4717		 | 		pos		 | 		pos
	4718		 | 		pos		 | 		pos
	4719		 | 		pos		 | 		pos
	4720		 | 		pos		 | 		pos
	4721		 | 		pos		 | 		pos
	4722		 | 		pos		 | 		pos
	4723		 | 		pos		 | 		pos
	4724		 | 		pos		 | 		pos
	4725		 | 		pos		 | 		pos
	4726		 | 		pos		 | 		pos
	4727		 | 		pos		 | 		pos
	4728		 | 		pos		 | 		pos
	4729		 | 		pos		 | 		pos
	4730		 | 		neg		 | 		pos
	4731		 | 		pos		 | 		pos
	4732		 | 		pos		 | 		pos
	4733		 | 		pos		 | 		pos
	4734		 | 		pos		 | 		pos
	4735		 | 		pos		 | 		pos
	4736		 | 		pos		 | 		pos
	4737		 | 		pos		 | 		pos
	4738		 | 		pos		 | 		pos
	4739		 | 		pos		 | 		pos
	4740		 | 		pos		 | 		pos
	4741		 | 		pos		 | 		pos
	4742		 | 		pos		 | 		pos
	4743		 | 		neg		 | 		pos
	4744		 | 		pos		 | 		pos
	4745		 | 		pos		 | 		pos
	4746		 | 		pos		 | 		pos
	4747		 | 		pos		 | 		pos
	4748		 | 		pos		 | 		pos
	4749		 | 		pos		 | 		pos
	4750		 | 		pos		 | 		pos
	4751		 | 		pos		 | 		pos
	4752		 | 		pos		 | 		pos
	4753		 | 		pos		 | 		pos
	4754		 | 		pos		 | 		pos
	4755		 | 		neg		 | 		pos
	4756		 | 		pos		 | 		pos
	4757		 | 		pos		 | 		pos
	4758		 | 		pos		 | 		pos
	4759		 | 		pos		 | 		pos
	4760		 | 		pos		 | 		pos
	4761		 | 		pos		 | 		pos
	4762		 | 		pos		 | 		pos
	4763		 | 		pos		 | 		pos
	4764		 | 		pos		 | 		pos
	4765		 | 		pos		 | 		pos
	4766		 | 		pos		 | 		pos
	4767		 | 		pos		 | 		pos
	4768		 | 		neg		 | 		pos
	4769		 | 		pos		 | 		pos
	4770		 | 		neg		 | 		pos
	4771		 | 		pos		 | 		pos
	4772		 | 		pos		 | 		pos
	4773		 | 		pos		 | 		pos
	4774		 | 		pos		 | 		pos
	4775		 | 		pos		 | 		pos
	4776		 | 		pos		 | 		pos
	4777		 | 		neg		 | 		pos
	4778		 | 		pos		 | 		pos
	4779		 | 		pos		 | 		pos
	4780		 | 		pos		 | 		pos
	4781		 | 		pos		 | 		pos
	4782		 | 		pos		 | 		pos
	4783		 | 		pos		 | 		pos
	4784		 | 		pos		 | 		pos
	4785		 | 		neg		 | 		pos
	4786		 | 		pos		 | 		pos
	4787		 | 		neg		 | 		pos
	4788		 | 		pos		 | 		pos
	4789		 | 		pos		 | 		pos
	4790		 | 		pos		 | 		pos
	4791		 | 		pos		 | 		pos
	4792		 | 		pos		 | 		pos
	4793		 | 		pos		 | 		pos
	4794		 | 		pos		 | 		pos
	4795		 | 		neg		 | 		pos
	4796		 | 		pos		 | 		pos
	4797		 | 		pos		 | 		pos
	4798		 | 		neg		 | 		pos
	4799		 | 		pos		 | 		pos
	4800		 | 		pos		 | 		pos
	4801		 | 		pos		 | 		pos
	4802		 | 		neg		 | 		pos
	4803		 | 		pos		 | 		pos
	4804		 | 		pos		 | 		pos
	4805		 | 		pos		 | 		pos
	4806		 | 		pos		 | 		pos
	4807		 | 		pos		 | 		pos
	4808		 | 		pos		 | 		pos
	4809		 | 		pos		 | 		pos
	4810		 | 		neg		 | 		pos
	4811		 | 		pos		 | 		pos
	4812		 | 		pos		 | 		pos
	4813		 | 		neg		 | 		pos
	4814		 | 		pos		 | 		pos
	4815		 | 		pos		 | 		pos
	4816		 | 		pos		 | 		pos
	4817		 | 		pos		 | 		pos
	4818		 | 		neg		 | 		pos
	4819		 | 		pos		 | 		pos
	4820		 | 		pos		 | 		pos
	4821		 | 		neg		 | 		pos
	4822		 | 		neg		 | 		pos
	4823		 | 		pos		 | 		pos
	4824		 | 		pos		 | 		pos
	4825		 | 		pos		 | 		pos
	4826		 | 		neg		 | 		pos
	4827		 | 		neg		 | 		pos
	4828		 | 		pos		 | 		pos
	4829		 | 		pos		 | 		pos
	4830		 | 		pos		 | 		pos
	4831		 | 		pos		 | 		pos
	4832		 | 		pos		 | 		pos
	4833		 | 		pos		 | 		pos
	4834		 | 		neg		 | 		pos
	4835		 | 		neg		 | 		pos
	4836		 | 		pos		 | 		pos
	4837		 | 		pos		 | 		pos
	4838		 | 		pos		 | 		pos
	4839		 | 		pos		 | 		pos
	4840		 | 		pos		 | 		pos
	4841		 | 		pos		 | 		pos
	4842		 | 		pos		 | 		pos
	4843		 | 		pos		 | 		pos
	4844		 | 		neg		 | 		pos
	4845		 | 		pos		 | 		pos
	4846		 | 		pos		 | 		pos
	4847		 | 		pos		 | 		pos
	4848		 | 		pos		 | 		pos
	4849		 | 		neg		 | 		pos
	4850		 | 		pos		 | 		pos
	4851		 | 		pos		 | 		pos
	4852		 | 		pos		 | 		pos
	4853		 | 		pos		 | 		pos
	4854		 | 		neg		 | 		pos
	4855		 | 		pos		 | 		pos
	4856		 | 		pos		 | 		pos
	4857		 | 		pos		 | 		pos
	4858		 | 		pos		 | 		pos
	4859		 | 		pos		 | 		pos
	4860		 | 		neg		 | 		pos
	4861		 | 		neg		 | 		pos
	4862		 | 		pos		 | 		pos
	4863		 | 		pos		 | 		pos
	4864		 | 		pos		 | 		pos
	4865		 | 		pos		 | 		pos
	4866		 | 		neg		 | 		pos
	4867		 | 		pos		 | 		pos
	4868		 | 		pos		 | 		pos
	4869		 | 		neg		 | 		pos
	4870		 | 		pos		 | 		pos
	4871		 | 		pos		 | 		pos
	4872		 | 		pos		 | 		pos
	4873		 | 		pos		 | 		pos
	4874		 | 		neg		 | 		pos
	4875		 | 		pos		 | 		pos
	4876		 | 		pos		 | 		pos
	4877		 | 		pos		 | 		pos
	4878		 | 		pos		 | 		pos
	4879		 | 		pos		 | 		pos
	4880		 | 		neg		 | 		pos
	4881		 | 		pos		 | 		pos
	4882		 | 		pos		 | 		pos
	4883		 | 		neg		 | 		pos
	4884		 | 		pos		 | 		pos
	4885		 | 		pos		 | 		pos
	4886		 | 		pos		 | 		pos
	4887		 | 		neg		 | 		pos
	4888		 | 		pos		 | 		pos
	4889		 | 		pos		 | 		pos
	4890		 | 		neg		 | 		pos
	4891		 | 		pos		 | 		pos
	4892		 | 		pos		 | 		pos
	4893		 | 		pos		 | 		pos
	4894		 | 		pos		 | 		pos
	4895		 | 		pos		 | 		pos
	4896		 | 		pos		 | 		pos
	4897		 | 		pos		 | 		pos
	4898		 | 		pos		 | 		pos
	4899		 | 		pos		 | 		pos
	4900		 | 		pos		 | 		pos
	4901		 | 		neg		 | 		pos
	4902		 | 		pos		 | 		pos
	4903		 | 		neg		 | 		pos
	4904		 | 		pos		 | 		pos
	4905		 | 		pos		 | 		pos
	4906		 | 		pos		 | 		pos
	4907		 | 		pos		 | 		pos
	4908		 | 		neg		 | 		pos
	4909		 | 		neg		 | 		pos
	4910		 | 		pos		 | 		pos
	4911		 | 		pos		 | 		pos
	4912		 | 		pos		 | 		pos
	4913		 | 		neg		 | 		pos
	4914		 | 		pos		 | 		pos
	4915		 | 		pos		 | 		pos
	4916		 | 		neg		 | 		pos
	4917		 | 		pos		 | 		pos
	4918		 | 		neg		 | 		pos
	4919		 | 		pos		 | 		pos
	4920		 | 		neg		 | 		pos
	4921		 | 		neg		 | 		pos
	4922		 | 		neg		 | 		pos
	4923		 | 		pos		 | 		pos
	4924		 | 		neg		 | 		pos
	4925		 | 		pos		 | 		pos
	4926		 | 		pos		 | 		pos
	4927		 | 		neg		 | 		pos
	4928		 | 		pos		 | 		pos
	4929		 | 		neg		 | 		pos
	4930		 | 		pos		 | 		pos
	4931		 | 		neg		 | 		pos
	4932		 | 		neg		 | 		pos
	4933		 | 		pos		 | 		pos
	4934		 | 		pos		 | 		pos
	4935		 | 		neg		 | 		pos
	4936		 | 		pos		 | 		pos
	4937		 | 		pos		 | 		pos
	4938		 | 		pos		 | 		pos
	4939		 | 		pos		 | 		pos
	4940		 | 		pos		 | 		pos
	4941		 | 		pos		 | 		pos
	4942		 | 		pos		 | 		pos
	4943		 | 		pos		 | 		pos
	4944		 | 		pos		 | 		pos
	4945		 | 		neg		 | 		pos
	4946		 | 		pos		 | 		pos
	4947		 | 		pos		 | 		pos
	4948		 | 		pos		 | 		pos
	4949		 | 		pos		 | 		pos
	4950		 | 		pos		 | 		pos
	4951		 | 		pos		 | 		pos
	4952		 | 		neg		 | 		pos
	4953		 | 		pos		 | 		pos
	4954		 | 		pos		 | 		pos
	4955		 | 		neg		 | 		pos
	4956		 | 		pos		 | 		pos
	4957		 | 		pos		 | 		pos
	4958		 | 		neg		 | 		pos
	4959		 | 		pos		 | 		pos
	4960		 | 		pos		 | 		pos
	4961		 | 		pos		 | 		pos
	4962		 | 		neg		 | 		pos
	4963		 | 		pos		 | 		pos
	4964		 | 		neg		 | 		pos
	4965		 | 		neg		 | 		pos
	4966		 | 		pos		 | 		pos
	4967		 | 		pos		 | 		pos
	4968		 | 		neg		 | 		pos
	4969		 | 		neg		 | 		pos
	4970		 | 		pos		 | 		pos
	4971		 | 		neg		 | 		pos
	4972		 | 		neg		 | 		pos
	4973		 | 		pos		 | 		pos
	4974		 | 		neg		 | 		pos
	4975		 | 		neg		 | 		pos
	4976		 | 		pos		 | 		pos
	4977		 | 		pos		 | 		pos
	4978		 | 		pos		 | 		pos
	4979		 | 		neg		 | 		pos
	4980		 | 		pos		 | 		pos
	4981		 | 		pos		 | 		pos
	4982		 | 		pos		 | 		pos
	4983		 | 		pos		 | 		pos
	4984		 | 		pos		 | 		pos
	4985		 | 		pos		 | 		pos
	4986		 | 		pos		 | 		pos
	4987		 | 		pos		 | 		pos
	4988		 | 		pos		 | 		pos
	4989		 | 		neg		 | 		pos
	4990		 | 		neg		 | 		pos
	4991		 | 		pos		 | 		pos
	4992		 | 		pos		 | 		pos
	4993		 | 		pos		 | 		pos
	4994		 | 		pos		 | 		pos
	4995		 | 		neg		 | 		pos
	4996		 | 		neg		 | 		pos
	4997		 | 		pos		 | 		pos
	4998		 | 		neg		 | 		pos
	4999		 | 		neg		 | 		pos
	5000		 | 		neg		 | 		pos
	5001		 | 		pos		 | 		pos
	5002		 | 		neg		 | 		pos
	5003		 | 		neg		 | 		pos
	5004		 | 		pos		 | 		pos
	5005		 | 		pos		 | 		pos
	5006		 | 		neg		 | 		pos
	5007		 | 		pos		 | 		pos
	5008		 | 		pos		 | 		pos
	5009		 | 		pos		 | 		pos
	5010		 | 		neg		 | 		pos
	5011		 | 		pos		 | 		pos
	5012		 | 		neg		 | 		pos
	5013		 | 		neg		 | 		pos
	5014		 | 		pos		 | 		pos
	5015		 | 		pos		 | 		pos
	5016		 | 		neg		 | 		pos
	5017		 | 		neg		 | 		pos
	5018		 | 		neg		 | 		pos
	5019		 | 		pos		 | 		pos
	5020		 | 		neg		 | 		pos
	5021		 | 		pos		 | 		pos
	5022		 | 		pos		 | 		pos
	5023		 | 		pos		 | 		pos
	5024		 | 		pos		 | 		pos
	5025		 | 		pos		 | 		pos
	5026		 | 		pos		 | 		pos
	5027		 | 		pos		 | 		pos
	5028		 | 		neg		 | 		pos
	5029		 | 		pos		 | 		pos
	5030		 | 		pos		 | 		pos
	5031		 | 		pos		 | 		pos
	5032		 | 		pos		 | 		pos
	5033		 | 		pos		 | 		pos
	5034		 | 		pos		 | 		pos
	5035		 | 		pos		 | 		pos
	5036		 | 		pos		 | 		pos
	5037		 | 		pos		 | 		pos
	5038		 | 		pos		 | 		pos
	5039		 | 		pos		 | 		pos
	5040		 | 		neg		 | 		pos
	5041		 | 		neg		 | 		pos
	5042		 | 		neg		 | 		pos
	5043		 | 		pos		 | 		pos
	5044		 | 		pos		 | 		pos
	5045		 | 		pos		 | 		pos
	5046		 | 		pos		 | 		pos
	5047		 | 		pos		 | 		pos
	5048		 | 		pos		 | 		pos
	5049		 | 		pos		 | 		pos
	5050		 | 		pos		 | 		pos
	5051		 | 		pos		 | 		pos
	5052		 | 		pos		 | 		pos
	5053		 | 		pos		 | 		pos
	5054		 | 		pos		 | 		pos
	5055		 | 		pos		 | 		pos
	5056		 | 		pos		 | 		pos
	5057		 | 		pos		 | 		pos
	5058		 | 		neg		 | 		pos
	5059		 | 		pos		 | 		pos
	5060		 | 		neg		 | 		pos
	5061		 | 		pos		 | 		pos
	5062		 | 		pos		 | 		pos
	5063		 | 		neg		 | 		pos
	5064		 | 		pos		 | 		pos
	5065		 | 		neg		 | 		pos
	5066		 | 		pos		 | 		pos
	5067		 | 		pos		 | 		pos
	5068		 | 		pos		 | 		pos
	5069		 | 		pos		 | 		pos
	5070		 | 		pos		 | 		pos
	5071		 | 		pos		 | 		pos
	5072		 | 		neg		 | 		pos
	5073		 | 		pos		 | 		pos
	5074		 | 		pos		 | 		pos
	5075		 | 		pos		 | 		pos
	5076		 | 		neg		 | 		pos
	5077		 | 		pos		 | 		pos
	5078		 | 		pos		 | 		pos
	5079		 | 		pos		 | 		pos
	5080		 | 		pos		 | 		pos
	5081		 | 		pos		 | 		pos
	5082		 | 		pos		 | 		pos
	5083		 | 		pos		 | 		pos
	5084		 | 		neg		 | 		pos
	5085		 | 		neg		 | 		pos
	5086		 | 		neg		 | 		pos
	5087		 | 		pos		 | 		pos
	5088		 | 		pos		 | 		pos
	5089		 | 		pos		 | 		pos
	5090		 | 		pos		 | 		pos
	5091		 | 		pos		 | 		pos
	5092		 | 		pos		 | 		pos
	5093		 | 		pos		 | 		pos
	5094		 | 		pos		 | 		pos
	5095		 | 		pos		 | 		pos
	5096		 | 		pos		 | 		pos
	5097		 | 		pos		 | 		pos
	5098		 | 		pos		 | 		pos
	5099		 | 		neg		 | 		pos
	5100		 | 		pos		 | 		pos
	5101		 | 		pos		 | 		pos
	5102		 | 		neg		 | 		pos
	5103		 | 		pos		 | 		pos
	5104		 | 		neg		 | 		pos
	5105		 | 		pos		 | 		pos
	5106		 | 		neg		 | 		pos
	5107		 | 		pos		 | 		pos
	5108		 | 		neg		 | 		pos
	5109		 | 		pos		 | 		pos
	5110		 | 		pos		 | 		pos
	5111		 | 		pos		 | 		pos
	5112		 | 		pos		 | 		pos
	5113		 | 		pos		 | 		pos
	5114		 | 		pos		 | 		pos
	5115		 | 		neg		 | 		pos
	5116		 | 		pos		 | 		pos
	5117		 | 		pos		 | 		pos
	5118		 | 		pos		 | 		pos
	5119		 | 		pos		 | 		pos
	5120		 | 		pos		 | 		pos
	5121		 | 		pos		 | 		pos
	5122		 | 		pos		 | 		pos
	5123		 | 		neg		 | 		pos
	5124		 | 		pos		 | 		pos
	5125		 | 		pos		 | 		pos
	5126		 | 		pos		 | 		pos
	5127		 | 		pos		 | 		pos
	5128		 | 		pos		 | 		pos
	5129		 | 		pos		 | 		pos
	5130		 | 		pos		 | 		pos
	5131		 | 		pos		 | 		pos
	5132		 | 		pos		 | 		pos
	5133		 | 		pos		 | 		pos
	5134		 | 		pos		 | 		pos
	5135		 | 		pos		 | 		pos
	5136		 | 		pos		 | 		pos
	5137		 | 		pos		 | 		pos
	5138		 | 		pos		 | 		pos
	5139		 | 		pos		 | 		pos
	5140		 | 		neg		 | 		pos
	5141		 | 		pos		 | 		pos
	5142		 | 		pos		 | 		pos
	5143		 | 		neg		 | 		pos
	5144		 | 		pos		 | 		pos
	5145		 | 		pos		 | 		pos
	5146		 | 		pos		 | 		pos
	5147		 | 		pos		 | 		pos
	5148		 | 		pos		 | 		pos
	5149		 | 		pos		 | 		pos
	5150		 | 		neg		 | 		pos
	5151		 | 		pos		 | 		pos
	5152		 | 		pos		 | 		pos
	5153		 | 		neg		 | 		pos
	5154		 | 		neg		 | 		pos
	5155		 | 		pos		 | 		pos
	5156		 | 		neg		 | 		pos
	5157		 | 		pos		 | 		pos
	5158		 | 		neg		 | 		pos
	5159		 | 		pos		 | 		pos
	5160		 | 		neg		 | 		pos
	5161		 | 		pos		 | 		pos
	5162		 | 		neg		 | 		pos
	5163		 | 		neg		 | 		pos
	5164		 | 		pos		 | 		pos
	5165		 | 		neg		 | 		pos
	5166		 | 		neg		 | 		pos
	5167		 | 		neg		 | 		pos
	5168		 | 		pos		 | 		pos
	5169		 | 		pos		 | 		pos
	5170		 | 		neg		 | 		pos
	5171		 | 		pos		 | 		pos
	5172		 | 		pos		 | 		pos
	5173		 | 		pos		 | 		pos
	5174		 | 		pos		 | 		pos
	5175		 | 		pos		 | 		pos
	5176		 | 		pos		 | 		pos
	5177		 | 		neg		 | 		pos
	5178		 | 		pos		 | 		pos
	5179		 | 		pos		 | 		pos
	5180		 | 		pos		 | 		pos
	5181		 | 		neg		 | 		pos
	5182		 | 		neg		 | 		pos
	5183		 | 		pos		 | 		pos
	5184		 | 		pos		 | 		pos
	5185		 | 		pos		 | 		pos
	5186		 | 		pos		 | 		pos
	5187		 | 		pos		 | 		pos
	5188		 | 		pos		 | 		pos
	5189		 | 		pos		 | 		pos
	5190		 | 		pos		 | 		pos
	5191		 | 		pos		 | 		pos
	5192		 | 		pos		 | 		pos
	5193		 | 		neg		 | 		pos
	5194		 | 		pos		 | 		pos
	5195		 | 		pos		 | 		pos
	5196		 | 		pos		 | 		pos
	5197		 | 		pos		 | 		pos
	5198		 | 		pos		 | 		pos
	5199		 | 		pos		 | 		pos
	5200		 | 		pos		 | 		pos
	5201		 | 		pos		 | 		pos
	5202		 | 		neg		 | 		pos
	5203		 | 		neg		 | 		pos
	5204		 | 		neg		 | 		pos
	5205		 | 		neg		 | 		pos
	5206		 | 		pos		 | 		pos
	5207		 | 		pos		 | 		pos
	5208		 | 		pos		 | 		pos
	5209		 | 		pos		 | 		pos
	5210		 | 		pos		 | 		pos
	5211		 | 		pos		 | 		pos
	5212		 | 		pos		 | 		pos
	5213		 | 		pos		 | 		pos
	5214		 | 		neg		 | 		pos
	5215		 | 		pos		 | 		pos
	5216		 | 		pos		 | 		pos
	5217		 | 		pos		 | 		pos
	5218		 | 		pos		 | 		pos
	5219		 | 		pos		 | 		pos
	5220		 | 		pos		 | 		pos
	5221		 | 		pos		 | 		pos
	5222		 | 		pos		 | 		pos
	5223		 | 		pos		 | 		pos
	5224		 | 		neg		 | 		pos
	5225		 | 		pos		 | 		pos
	5226		 | 		pos		 | 		pos
	5227		 | 		pos		 | 		pos
	5228		 | 		pos		 | 		pos
	5229		 | 		pos		 | 		pos
	5230		 | 		neg		 | 		pos
	5231		 | 		pos		 | 		pos
	5232		 | 		neg		 | 		pos
	5233		 | 		pos		 | 		pos
	5234		 | 		neg		 | 		pos
	5235		 | 		pos		 | 		pos
	5236		 | 		pos		 | 		pos
	5237		 | 		pos		 | 		pos
	5238		 | 		neg		 | 		pos
	5239		 | 		pos		 | 		pos
	5240		 | 		pos		 | 		pos
	5241		 | 		pos		 | 		pos
	5242		 | 		pos		 | 		pos
	5243		 | 		pos		 | 		pos
	5244		 | 		pos		 | 		pos
	5245		 | 		pos		 | 		pos
	5246		 | 		pos		 | 		pos
	5247		 | 		pos		 | 		pos
	5248		 | 		neg		 | 		pos
	5249		 | 		pos		 | 		pos
	5250		 | 		pos		 | 		pos
	5251		 | 		pos		 | 		pos
	5252		 | 		pos		 | 		pos
	5253		 | 		neg		 | 		pos
	5254		 | 		pos		 | 		pos
	5255		 | 		pos		 | 		pos
	5256		 | 		neg		 | 		pos
	5257		 | 		pos		 | 		pos
	5258		 | 		pos		 | 		pos
	5259		 | 		pos		 | 		pos
	5260		 | 		pos		 | 		pos
	5261		 | 		pos		 | 		pos
	5262		 | 		pos		 | 		pos
	5263		 | 		pos		 | 		pos
	5264		 | 		pos		 | 		pos
	5265		 | 		pos		 | 		pos
	5266		 | 		pos		 | 		pos
	5267		 | 		neg		 | 		pos
	5268		 | 		pos		 | 		pos
	5269		 | 		pos		 | 		pos
	5270		 | 		neg		 | 		pos
	5271		 | 		pos		 | 		pos
	5272		 | 		neg		 | 		pos
	5273		 | 		pos		 | 		pos
	5274		 | 		neg		 | 		pos
	5275		 | 		pos		 | 		pos
	5276		 | 		pos		 | 		pos
	5277		 | 		pos		 | 		pos
	5278		 | 		pos		 | 		pos
	5279		 | 		pos		 | 		pos
	5280		 | 		neg		 | 		pos
	5281		 | 		neg		 | 		pos
	5282		 | 		pos		 | 		pos
	5283		 | 		neg		 | 		pos
	5284		 | 		pos		 | 		pos
	5285		 | 		pos		 | 		pos
	5286		 | 		pos		 | 		pos
	5287		 | 		pos		 | 		pos
	5288		 | 		pos		 | 		pos
	5289		 | 		pos		 | 		pos
	5290		 | 		neg		 | 		pos
	5291		 | 		pos		 | 		pos
	5292		 | 		pos		 | 		pos
	5293		 | 		neg		 | 		pos
	5294		 | 		pos		 | 		pos
	5295		 | 		neg		 | 		pos
	5296		 | 		pos		 | 		pos
	5297		 | 		pos		 | 		pos
	5298		 | 		pos		 | 		pos
	5299		 | 		neg		 | 		pos
	5300		 | 		neg		 | 		pos
	5301		 | 		pos		 | 		pos
	5302		 | 		pos		 | 		pos
	5303		 | 		neg		 | 		pos
	5304		 | 		neg		 | 		pos
	5305		 | 		pos		 | 		pos
